name,componente,codigo_cmn,n_decreto,categoria,fecha_decreto,nombre,codigo_raiz,observacion_division_politica_administrativa,tipo_de_decreto,fecha_de_publicacion_en_el_diario_oficial,superficie_oficial_en_hectareas,superficie_oficial_en_metros_cuadrados,lon,lat
Iglesia y Convento de la Recoleta Franciscana,Convento,00126_MH_13127,935,Monumento Histórico,24-07-1973,Iglesia y Convento de la Recoleta Franciscana,00125_MH_13127,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-70.6478132,-33.43065327
Iglesia de la Recoleta Dominica,No aplica,00138_MH_13127,10,Monumento Histórico,07-01-1974,Iglesia de la Recoleta Dominica,No aplica,Sin Observaciones,Decreto Supremo,11-02-1974,0,0,-70.64472357,-33.42389855
Convento de la Recoleta Dominica,No aplica,00139_MH_13127,10,Monumento Histórico,07-01-1974,Convento de la Recoleta Dominica,00138_MH_13127,Sin Observaciones,Decreto Supremo,11-02-1974,0,0,-70.644724,-33.423899
Plazoleta de piedras tacitas,No aplica,00559_MH_13127,119,Monumento Histórico,11-03-1992,Plazoleta de piedras tacitas,No aplica,Sin Observaciones,Decreto Supremo,20-05-1992,0,0,-70.64443448,-33.41651242
Iglesia Quinta Bella,No aplica,00623_MH_13127,553,Monumento Histórico,15-11-1994,Iglesia Quinta Bella,No aplica,Sin Observaciones,Decreto Exento,28-11-1994,0,0,-70.6417695,-33.40216195
Estación de Ferrocarriles de San Bernardo,No aplica,00292_MH_13401,6006,Monumento Histórico,10-09-1981,Estación de Ferrocarriles de San Bernardo,No aplica,Sin Observaciones,Decreto Supremo,17-10-1981,0,0,-70.6980264,-33.59524921
Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,Estación de Ferrocarril La Obra,00541_MH_13203,423,Monumento Histórico,05-11-1991,Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,No aplica,Sin Observaciones,Decreto Supremo,23-12-1991,0,0,-70.48662452,-33.59227754
Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,Estación de Ferrocarril El Canelo,00542_MH_13203,423,Monumento Histórico,05-11-1991,Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,00541_MH_13203,Sin Observaciones,Decreto Supremo,23-12-1991,0,0,-70.45020175,-33.57626013
Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,Estación de Ferrocarril El Manzano,00543_MH_13203,423,Monumento Histórico,05-11-1991,Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,00541_MH_13203,Sin Observaciones,Decreto Supremo,23-12-1991,0,0,-70.39228484,-33.58678576
Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,Estación de Ferrocarril San José,00544_MH_13203,423,Monumento Histórico,05-11-1991,Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,00541_MH_13203,Sin Observaciones,Decreto Supremo,23-12-1991,0,0,-70.35313124,-33.63520671
Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,Estación Ferrocarril El Melocotón,00545_MH_13203,423,Monumento Histórico,05-11-1991,Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,00541_MH_13203,Sin Observaciones,Decreto Supremo,23-12-1991,0,0,-70.33593414,-33.69329903
Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,Estación de Ferrocarril San Alfonso,00546_MH_13203,423,Monumento Histórico,05-11-1991,Construcciones existentes a lo largo del trazado del Ferrocarril de Puente Alto a El Volcán.,00541_MH_13203,Sin Observaciones,Decreto Supremo,23-12-1991,0,0,-70.31793499,-33.73198996
